,major_violation_personal_hygiene,restaurant_address_address,restaurant_address_city,:@computed_region_5s6d_2f32,minor_violation_personal_hygiene,:@computed_region_x3q3_gi3e,major_violation_inadequate_cooking,major_violation_improper_holding_temperature,restaurant_address_zip,major_violation_unsafe_food_source,inspection_date,:@computed_region_3ini_iehf,w3alcd,minor_violation_unsafe_food_source,major_violation_contaminated_equipment,minor_violation_improper_holding_temperature,minor_violation_inadequate_cooking,minor_violation_contaminated_equipment,indbdate,restaurant_address_state,doing_business_as,:@computed_region_5bih_7r3y,coordinates,major_sum,minor_sum
651,0,2426 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-03T00:00:00.000,12,FA0000774,0,0,1,0,0,2019-10-14T05:00:01.000,CA,THAI NOODLE II,18,"[-122.2587, 37.866391]",0,1
652,0,913 UNIVERSITY AVE,BERKELEY,1502,0,5,0,0,,0,2019-05-24T00:00:00.000,6,FA0002087,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THAI TABLE,24,"[-122.296137, 37.868362]",0,0
653,0,2037 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2019-08-14T00:00:00.000,11,FA0001457,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THARAPHU BURMESE STREET FOOD,32,"[-122.268315, 37.871319]",0,0
654,0,1601 SAN PABLO AVE,BERKELEY,1494,0,5,0,0,,0,2019-06-17T00:00:00.000,9,FA0000156,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE ACME BREAD CO.,2,"[-122.293972, 37.874979]",0,0
655,0,1822 SAN PABLO AVE,BERKELEY,1494,0,5,0,0,,0,2019-07-11T00:00:00.000,6,FA0000100,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE ALBATROSS,24,"[-122.292771, 37.870798]",0,0
656,0,2400 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-04-03T00:00:00.000,12,FA0001956,0,0,0,0,1,2019-10-14T05:00:02.000,CA,"THE BIRD/""2400 TELEGRAPH LLC""",18,"[-122.258779, 37.866761]",0,1
657,0,2836 SACRAMENTO ST,BERKELEY,1495,0,7,0,0,,0,2019-07-31T00:00:00.000,4,FA0000487,0,0,1,0,1,2019-10-14T05:00:01.000,CA,THE BOOT STRAPPERS,33,"[-122.279711, 37.856154]",0,2
658,0,2701 8TH ST,BERKELEY,1502,0,8,0,0,,0,2019-10-03T00:00:00.000,5,FA0002031,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE BUTCHER'S SON,11,"[-122.291833, 37.856919]",0,0
659,0,1954 UNIVERSITY AVE,BERKELEY,1496,0,1,0,0,,0,2019-05-24T00:00:00.000,8,FA0001987,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE BUTCHER'S SON,32,"[-122.271771, 37.871668]",0,0
660,0,1504 SHATTUCK AVE,BERKELEY,1501,0,3,0,0,,0,2019-09-30T00:00:00.000,7,FA0000419,0,0,0,0,0,2019-10-14T05:00:01.000,CA,"THE CHEESE BOARD, INC.",8,"[-122.26935, 37.880147]",0,0
661,0,1512 SHATTUCK AVE,BERKELEY,1501,0,3,0,0,,0,2019-09-30T00:00:00.000,7,FA0000420,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE CHEESE BOARD PIZZA,8,"[-122.269316, 37.879871]",0,0
662,0,1054 UNIVERSITY AVE,BERKELEY,1502,0,8,0,0,,0,2019-03-27T00:00:00.000,6,FA0001921,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE CHEESE STEAK SHOP,22,"[-122.293154, 37.868848]",0,0
663,0,3221 ADELINE ST,BERKELEY,1495,0,7,0,0,,0,2019-09-11T00:00:00.000,3,FA0000289,0,0,1,0,1,2019-10-14T05:00:01.000,CA,THE FAT FISH,26,"[-122.270892, 37.849911]",0,2
664,0,2114 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2019-06-19T00:00:00.000,11,FA0001851,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE FLYING FALAFEL,32,"[-122.268262, 37.870904]",0,0
665,0,1047 MURRAY ST,BERKELEY,1494,0,8,0,0,,0,2019-08-15T00:00:00.000,5,FA0001768,0,0,0,0,1,2019-10-14T05:00:02.000,CA,THE GRILLED CHEEZ GUY,11,"[-122.287861, 37.851461]",0,1
666,0,2454 SACRAMENTO ST,BERKELEY,1494,0,1,0,0,,0,2019-07-15T00:00:00.000,10,FA0000271,0,0,1,0,0,2019-10-14T05:00:01.000,CA,THE HOMEMADE CAFE,29,"[-122.281294, 37.86297]",0,1
667,0,1814 EUCLID AVE,BERKELEY,1501,0,4,0,0,,0,2019-09-03T00:00:00.000,7,FA0001735,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE HUMMINGBIRD,4,"[-122.260307, 37.875905]",0,0
668,0,2905 COLLEGE AVE,BERKELEY,1497,0,6,0,1,,0,2019-09-26T00:00:00.000,13,FA0001888,0,0,0,0,1,2019-10-14T05:00:02.000,CA,THE ITALIAN HOMEMADE COMPANY,19,"[-122.25316, 37.858166]",1,1
669,0,2087 ADDISON ST,BERKELEY,1496,0,1,0,0,,0,2019-04-09T00:00:00.000,11,FA0000654,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE JAZZ CAFE,32,"[-122.268573, 37.87113]",0,0
670,0,2114 VINE ST,BERKELEY,1501,0,3,0,0,,0,2019-01-30T00:00:00.000,7,FA0000421,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE JUICE BAR COLLECTIVE,8,"[-122.26872, 37.880307]",0,0
671,0,2181 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2019-03-15T00:00:00.000,11,FA0000056,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE JUPITER,32,"[-122.267846, 37.869832]",0,0
672,0,1600 SHATTUCK AVE,BERKELEY,1501,0,1,0,0,,0,2019-01-30T00:00:00.000,7,FA0001019,0,0,0,0,0,2019-10-14T05:00:01.000,CA,"THE LOCAL BUTCHER SHOP, LLC",3,"[-122.269114, 37.878113]",0,0
673,0,1451 5TH ST,BERKELEY,1502,0,5,0,0,,0,2019-07-29T00:00:00.000,9,FA0002112,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE MIXING BOWL,11,"[-122.301338, 37.875485]",0,0
674,0,1936 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2019-03-11T00:00:00.000,11,FA0001705,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE NOODLE,3,"[-122.268562, 37.873227]",0,0
675,0,1250 ADDISON ST,BERKELEY,1494,0,8,0,0,,0,2019-05-03T00:00:00.000,8,FA0000690,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE PHOENIX PASTIFICIO,28,"[-122.286984, 37.868792]",0,0
676,0,940 PARKER ST,BERKELEY,1502,0,8,0,0,,0,2019-09-30T00:00:00.000,5,FA0001341,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE RARE BARREL,11,"[-122.292556, 37.858614]",0,0
677,0,3115 TELEGRAPH AVE,BERKELEY,1497,0,6,0,0,,0,2018-10-09T00:00:00.000,12,FA0000094,0,0,1,0,0,2019-10-14T05:00:01.000,CA,THE SMOKE HOUSE,25,"[-122.260044, 37.853209]",0,1
678,0,2505 HEARST AVE,BERKELEY,1501,0,2,0,0,,0,2019-09-11T00:00:00.000,7,FA0001596,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE SNACK SHACK,31,"[-122.260226, 37.875072]",0,0
679,0,1828 EUCLID AVE,BERKELEY,1501,0,4,0,0,,0,2019-09-17T00:00:00.000,7,FA0002129,0,0,0,0,0,2019-10-14T05:00:02.000,CA,THE SNACK SHACK,4,"[-122.260279, 37.875765]",0,0
680,0,1814 SAN PABLO AVE,BERKELEY,1494,0,5,0,0,,0,2019-06-12T00:00:00.000,6,FA0000099,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE SPANISH TABLE,24,"[-122.292866, 37.871094]",0,0
681,0,2727 MILVIA ST,BERKELEY,1495,0,7,0,0,,0,2019-04-11T00:00:00.000,2,FA0001504,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE SPORTS BASEMENT,13,"[-122.269376, 37.859595]",0,0
682,0,2984 RUSSELL ST,BERKELEY,1497,0,6,0,0,,0,2019-07-18T00:00:00.000,13,FA0001347,0,0,1,0,0,2019-10-14T05:00:01.000,CA,THE STATION,19,"[-122.245005, 37.858968]",0,1
683,0,1829 EUCLID AVE,BERKELEY,1501,0,4,0,0,,0,2019-08-26T00:00:00.000,7,FA0000132,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THE STUFFED INN,4,"[-122.260258, 37.875664]",0,0
